m=60;
n=60;
p=3;
q=3;

alpha=[0.527318,0.841335,0.989207,0.707597,0.864979,0.779459];

proba=[[[0.656647,0.823262,0.383510,0.125794,0.363707,0.594737,0.256895,0.345771,0.140948,0.902469,0.904419,0.759036,0.175723,0.406873,0.544630,0.877583,0.342384,0.943255,0.417914,0.647418,0.177724,0.293208,0.175939,0.161583,0.221777,0.230575,0.844254,0.200192,0.645769,0.574212,0.759110,0.302416,0.397474,0.142619,0.428210,0.761181,0.737356,0.685106,0.106951,0.878305,0.587575,0.011370,0.637341,0.763297,0.418244,0.181971,0.640880,0.760628,0.125225,0.058794,0.408046,0.302950,0.352002,0.583985,0.464533,0.573779,0.814559,0.308786,0.773971,0.460328],
[0.882998,0.533081,0.762744,0.280472,0.675700,0.190955,0.041653,0.413056,0.876060,0.148604,0.291361,0.463635,0.159975,0.928701,0.226933,0.578218,0.110672,0.867813,0.338846,0.235897,0.926607,0.746892,0.538847,0.278609,0.330876,0.003380,0.852388,0.145436,0.312166,0.626359,0.605764,0.195164,0.159439,0.368509,0.475637,0.835139,0.559463,0.517290,0.248195,0.435524,0.665894,0.539556,0.899159,0.825868,0.468257,0.126092,0.404087,0.578929,0.993905,0.742933,0.814827,0.920512,0.489824,0.353674,0.199121,0.820701,0.357053,0.051509,0.966136,0.669220],
[0.677867,0.571900,0.864384,0.837307,0.940409,0.340020,0.672445,0.499872,0.857310,0.920641,0.935396,0.523204,0.460196,0.834555,0.349072,0.928453,0.960647,0.753159,0.507382,0.954552,0.496091,0.322209,0.875064,0.985916,0.675883,0.074185,0.806616,0.032936,0.125694,0.772753,0.702155,0.803561,0.344653,0.566539,0.640868,0.285062,0.906560,0.313313,0.784935,0.763869,0.233954,0.720331,0.287073,0.694150,0.554886,0.636145,0.622603,0.515533,0.389304,0.129986,0.470086,0.885395,0.452195,0.345150,0.871311,0.128077,0.419335,0.677927,0.161013,0.545029],
[0.450680,0.863169,0.348590,0.795333,0.429708,0.989458,0.080395,0.336268,0.302771,0.865330,0.100137,0.536725,0.585661,0.387210,0.230875,0.140547,0.023356,0.853479,0.656081,0.412659,0.983464,0.126166,0.298054,0.435659,0.471316,0.169365,0.563736,0.890650,0.847292,0.724749,0.435679,0.297972,0.587918,0.784269,0.093305,0.017626,0.773727,0.173700,0.353894,0.076499,0.039030,0.454031,0.613224,0.624691,0.841241,0.844099,0.765239,0.864597,0.697578,0.421319,0.277256,0.681042,0.547485,0.575310,0.116701,0.018801,0.744675,0.680437,0.909452,0.591968],
[0.405186,0.345131,0.889940,0.993104,0.129400,0.983245,0.010730,0.903127,0.156945,0.364624,0.979626,0.195976,0.818655,0.592850,0.820667,0.659896,0.436949,0.585906,0.524492,0.134526,0.007225,0.801748,0.815568,0.554710,0.377058,0.932269,0.573511,0.121734,0.612706,0.482963,0.713701,0.017893,0.828094,0.603641,0.010997,0.957494,0.586886,0.021728,0.860621,0.743831,0.386352,0.840247,0.939807,0.205007,0.433096,0.760474,0.864902,0.870045,0.346380,0.389394,0.004571,0.353605,0.191143,0.820140,0.908315,0.568201,0.752409,0.481826,0.689935,0.365115],
[0.964789,0.403636,0.383008,0.792883,0.007277,0.394005,0.750376,0.594163,0.415733,0.610997,0.337995,0.802085,0.451244,0.277801,0.007091,0.884340,0.038275,0.871994,0.754385,0.384655,0.261388,0.758956,0.738259,0.452531,0.579096,0.646574,0.020732,0.331505,0.128400,0.710666,0.696620,0.093189,0.114303,0.079628,0.886072,0.121580,0.473634,0.636448,0.715744,0.889367,0.247445,0.053738,0.691452,0.698689,0.331540,0.698543,0.583029,0.369815,0.570537,0.337413,0.754470,0.831925,0.096370,0.492729,0.284456,0.675465,0.139303,0.305187,0.006970,0.267703],
[0.015854,0.703590,0.360892,0.130157,0.783219,0.246964,0.251737,0.256852,0.883412,0.967480,0.146219,0.130858,0.021219,0.837671,0.829546,0.352758,0.536214,0.412575,0.722573,0.106751,0.749989,0.477043,0.938676,0.846358,0.969772,0.223131,0.521823,0.109075,0.528319,0.528794,0.376778,0.544172,0.232384,0.737670,0.674329,0.015602,0.984635,0.926066,0.272454,0.868047,0.893546,0.418673,0.998905,0.914765,0.256344,0.828451,0.267523,0.792558,0.241026,0.990096,0.899309,0.991015,0.467139,0.837984,0.837373,0.436910,0.061115,0.359196,0.545985,0.589434],
[0.887990,0.922763,0.133606,0.120373,0.660433,0.807935,0.135976,0.645068,0.734001,0.408430,0.513115,0.627547,0.827104,0.512019,0.542312,0.083448,0.340470,0.809835,0.876006,0.581496,0.799931,0.775314,0.572511,0.267069,0.613298,0.409883,0.703979,0.674414,0.769079,0.249964,0.263848,0.657069,0.172727,0.397454,0.777442,0.833160,0.205389,0.913418,0.478228,0.939390,0.321848,0.991343,0.566938,0.148952,0.503363,0.109249,0.232399,0.843833,0.919084,0.108405,0.425329,0.719015,0.883719,0.997840,0.986084,0.497018,0.407724,0.690063,0.171432,0.176803],
[0.940027,0.435279,0.833872,0.112754,0.832734,0.611314,0.945915,0.038123,0.524732,0.424143,0.977514,0.846580,0.415486,0.544451,0.995532,0.918848,0.653701,0.227931,0.762681,0.572785,0.336337,0.188011,0.291799,0.220056,0.185851,0.277883,0.717074,0.593574,0.967947,0.888506,0.770377,0.907974,0.323785,0.604249,0.020728,0.156519,0.215564,0.966643,0.194642,0.740296,0.390786,0.172155,0.586876,0.806272,0.716606,0.582408,0.725120,0.370307,0.810340,0.487802,0.943091,0.146676,0.675812,0.234891,0.366732,0.861663,0.512774,0.083806,0.455238,0.480721],
[0.972311,0.225615,0.388695,0.296096,0.829864,0.409424,0.452615,0.045428,0.376067,0.647257,0.785724,0.766853,0.819412,0.372600,0.573124,0.536018,0.955008,0.298244,0.906325,0.765348,0.786046,0.849416,0.912024,0.461858,0.084307,0.278756,0.323521,0.597082,0.362561,0.778759,0.077803,0.334873,0.004374,0.466498,0.630969,0.834238,0.875921,0.083584,0.879666,0.251988,0.730840,0.665390,0.018841,0.550252,0.037990,0.591965,0.086270,0.992999,0.890209,0.992595,0.758346,0.676255,0.842011,0.670370,0.138114,0.926319,0.949126,0.461635,0.523400,0.311687],
