
P = 1;

n = 15;

m = 15;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[73,74,99,74,81,99,85,97,94,61,62,72,81,96,72],
[70,82,62,99,77,94,73,75,86,71,64,90,83,71,72],
[97,77,79,88,91,60,87,76,90,81,70,92,85,91,89],
[97,61,63,91,92,80,86,98,87,64,69,92,94,84,95],
[99,81,72,78,69,96,70,96,64,60,69,74,85,94,66],
[66,83,99,69,75,92,81,93,90,69,89,91,93,84,75],
[88,75,97,93,93,98,89,95,95,93,88,96,60,73,83],
[66,71,98,97,80,65,81,61,90,63,70,80,94,95,64],
[62,84,79,99,69,64,89,98,91,76,83,79,73,83,84],
[96,81,95,86,71,67,92,92,69,82,88,71,62,74,67],
[98,76,83,77,67,92,73,97,82,65,73,97,76,78,81],
[93,66,94,80,93,65,88,85,90,89,99,78,60,62,84],
[99,60,61,82,70,60,66,83,89,80,88,63,78,97,73],
[91,90,80,85,70,73,91,98,90,81,87,89,91,80,83],
[75,79,84,68,94,86,69,92,69,90,73,90,93,83,87]];
