
P = 1;

n = 15;

m = 15;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[95,83,75,79,65,89,97,89,89,60,95,92,71,80,62],
[80,66,73,96,89,84,88,84,70,68,84,94,78,72,64],
[92,67,87,99,79,93,89,68,74,70,68,70,95,79,90],
[89,91,88,62,88,77,86,68,94,88,69,78,83,87,90],
[87,71,89,66,63,60,91,84,68,66,86,76,76,81,87],
[98,62,79,86,65,99,64,83,67,98,72,68,68,87,96],
[90,74,99,71,72,62,72,64,86,80,62,73,89,78,86],
[68,76,89,87,62,86,78,98,69,78,88,81,86,88,60],
[74,78,74,74,82,79,76,94,75,95,74,77,60,95,87],
[86,64,63,75,83,97,93,62,88,63,80,68,76,66,89],
[77,81,99,83,87,81,62,63,75,77,90,82,86,90,77],
[73,77,81,68,84,97,66,78,99,86,73,79,86,89,77],
[75,66,90,75,82,77,96,76,73,72,94,63,86,80,94],
[63,86,63,77,94,79,74,92,89,73,78,62,84,65,84],
[93,72,82,84,87,64,61,76,81,66,88,67,70,74,79]];
