
P = 1;

n = 25;

m = 25;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[96,67,79,95,87,87,97,62,60,88,90,87,97,78,63,85,90,74,87,69,88,60,72,90,68],
[95,85,75,96,60,65,92,60,85,80,87,72,77,81,64,98,64,83,95,82,79,80,64,93,99],
[65,73,99,78,63,67,73,88,74,70,81,80,62,81,65,74,60,69,84,73,73,82,77,89,77],
[91,68,89,95,61,80,61,66,80,79,69,79,84,89,94,94,70,66,89,83,63,63,75,72,87],
[89,77,61,98,66,78,90,74,99,85,67,80,78,73,60,97,82,71,82,64,65,68,74,63,97],
[90,66,93,65,70,72,86,88,74,85,86,84,75,61,84,92,60,64,71,74,96,60,88,67,74],
[92,65,83,99,68,72,81,67,97,78,77,70,65,97,84,90,84,68,97,77,84,89,77,88,92],
[83,76,93,72,76,67,96,81,90,87,81,95,60,88,92,79,98,62,84,95,78,66,79,87,63],
[96,71,84,66,92,77,89,68,70,93,76,77,82,97,60,61,71,95,62,91,87,81,89,90,97],
[85,60,63,96,87,66,85,91,90,91,75,99,80,75,69,66,92,79,88,81,79,89,92,74,91],
[76,93,64,65,75,61,82,76,64,71,95,62,96,86,85,87,93,84,99,69,86,97,61,65,85],
[82,84,67,67,90,98,83,75,95,80,91,96,95,99,93,66,94,95,62,73,72,81,66,89,72],
[67,75,70,68,80,87,83,96,94,90,78,85,65,93,80,85,76,68,72,67,61,78,94,89,72],
[67,61,85,65,90,98,73,65,60,81,77,79,96,73,74,78,83,91,83,69,63,61,77,71,73],
[85,73,92,79,62,96,78,63,82,83,86,72,88,91,64,62,61,83,98,74,89,77,90,72,60],
[99,75,93,68,87,67,85,60,91,64,94,87,74,97,61,98,75,65,86,67,69,80,68,85,79],
[74,74,96,96,79,88,87,94,74,96,81,81,81,73,64,78,67,83,92,97,85,82,72,90,61],
[79,92,81,79,77,60,86,83,88,82,62,69,70,97,83,66,70,96,79,84,92,97,91,75,90],
[88,92,64,61,75,65,72,67,87,84,84,79,70,99,68,92,94,69,62,91,84,60,93,80,80],
[77,72,69,61,79,91,89,72,96,82,87,61,95,94,80,71,70,60,81,61,60,73,95,69,68],
[78,93,60,72,65,72,89,69,74,82,88,65,72,60,61,86,87,95,73,73,75,84,75,67,65],
[77,99,71,72,68,71,91,93,71,63,90,76,84,99,90,67,80,95,71,80,89,97,60,76,63],
[65,83,87,81,91,93,98,90,96,70,91,67,93,76,70,88,99,86,73,90,68,72,70,96,83],
[83,85,72,75,61,75,80,84,95,93,67,80,83,90,76,86,73,75,79,89,85,68,88,64,73],
[71,64,85,81,60,60,64,85,64,71,78,80,92,95,67,77,62,87,61,92,63,87,65,78,66]];
