
P = 1;

n = 40;

m = 40;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[94,80,87,86,90,61,75,67,71,81,92,72,71,88,98,60,97,91,98,73,66,84,74,63,82,85,66,78,76,84,63,70,96,82,96,86,83,63,93,87],
[84,77,91,87,66,89,79,63,72,69,68,70,93,82,73,75,60,71,86,76,87,81,86,84,63,74,70,86,69,96,73,85,73,64,72,79,85,91,74,97],
[93,83,67,78,97,72,94,97,75,72,65,63,93,83,87,96,89,89,74,98,85,80,75,99,76,87,78,62,71,85,99,96,68,99,74,97,71,60,87,79],
[72,92,82,97,76,69,93,97,98,60,88,84,80,63,75,88,91,85,90,94,70,82,90,70,73,64,68,84,97,95,95,69,87,77,67,95,78,92,85,69],
[92,73,85,64,76,60,93,99,85,75,85,96,97,67,66,70,64,74,87,61,61,82,70,81,92,77,68,70,62,93,71,94,66,96,91,75,96,84,74,74],
[99,92,70,89,99,68,91,63,75,78,64,76,93,75,89,77,84,98,87,78,91,91,73,90,87,96,97,84,80,71,98,71,63,60,60,95,60,84,98,75],
[94,63,84,79,70,73,96,86,71,76,65,95,67,70,77,94,66,74,70,78,77,60,89,81,92,82,68,93,98,66,68,92,61,92,72,71,66,68,90,69],
[84,87,64,91,97,81,78,95,95,88,73,73,81,94,86,73,68,94,66,66,92,75,99,94,99,71,97,97,71,87,67,96,66,63,79,63,85,89,90,72],
[78,63,77,99,90,95,72,98,81,71,65,74,86,96,60,77,99,89,75,70,77,74,98,75,77,78,79,94,67,69,99,77,65,76,68,95,64,73,85,85],
[84,82,91,62,78,83,79,69,73,86,80,82,60,78,97,70,88,68,64,88,70,63,97,75,72,66,62,76,79,79,93,95,62,85,97,72,60,68,82,73],
[87,94,95,87,64,93,89,85,93,94,73,63,89,70,78,61,68,72,69,79,92,63,66,94,80,63,98,80,64,80,94,91,66,81,70,71,66,60,96,60],
[86,61,63,75,63,74,69,72,78,78,83,70,81,90,96,61,85,95,74,81,67,68,72,74,81,75,77,88,67,65,80,93,66,75,60,69,89,69,73,68],
[80,89,70,61,79,67,95,96,94,69,78,61,69,82,67,90,97,76,70,96,81,82,81,87,98,82,89,87,83,62,87,63,83,98,97,62,97,92,91,91],
[93,69,84,62,83,84,84,73,60,87,69,82,69,91,61,67,65,90,87,88,85,74,84,68,64,81,63,93,65,94,84,98,95,61,92,70,85,76,83,85],
[63,93,99,73,76,61,72,81,91,99,61,68,66,77,69,62,90,72,96,95,98,72,85,85,73,77,95,98,86,79,76,89,64,75,94,80,76,67,93,60],
[66,86,60,64,96,69,67,86,81,63,74,71,75,99,96,81,69,92,71,95,63,87,76,67,95,71,79,63,70,64,63,68,90,96,73,86,65,72,65,79],
[75,79,82,82,70,79,95,79,63,67,66,66,94,83,65,81,86,84,85,88,88,80,96,70,76,61,89,74,73,94,93,80,73,67,63,75,86,90,95,81],
[97,61,87,84,76,84,65,94,60,90,82,80,71,71,91,79,72,72,93,78,66,78,98,71,86,93,86,72,84,73,86,73,67,73,97,83,90,95,70,90],
[77,92,71,88,95,94,68,60,66,93,78,64,72,68,75,98,62,93,62,78,67,88,91,74,94,81,97,84,76,99,66,93,92,77,74,79,71,74,79,69],
[67,97,73,71,66,88,69,60,74,64,78,81,92,69,95,78,82,84,94,98,84,61,84,68,70,90,87,74,64,67,83,63,96,97,75,94,77,76,94,91],
[72,72,64,97,74,99,75,88,84,62,87,60,63,63,68,73,93,87,79,89,94,63,84,83,92,91,77,61,60,72,85,72,76,89,69,82,81,77,71,97],
[79,90,97,82,93,97,87,78,84,67,99,71,62,83,94,86,75,71,79,67,75,64,79,92,86,89,74,99,66,85,96,77,67,85,99,60,74,78,70,98],
[77,69,61,71,85,95,97,92,99,77,99,74,73,78,98,91,99,73,90,97,90,78,74,98,63,65,90,77,84,61,68,93,62,69,65,87,97,62,79,96],
[71,78,62,77,89,61,68,88,66,91,78,88,69,92,78,65,90,69,82,66,62,82,99,64,92,96,92,89,91,71,77,62,90,71,71,71,72,80,99,70],
[63,77,99,72,62,77,77,84,78,92,90,80,74,81,85,98,78,77,87,69,80,96,63,62,68,67,73,72,79,65,83,82,74,74,94,68,91,64,92,70],
[88,74,82,62,96,67,61,66,76,80,67,97,69,62,91,77,69,65,81,88,70,64,70,76,70,97,85,62,93,77,64,81,92,86,83,80,86,76,86,62],
[97,85,91,98,87,83,75,97,80,88,77,82,85,88,98,95,77,83,97,70,93,93,91,85,80,66,97,98,83,83,60,72,60,84,70,87,99,77,76,79],
[97,94,93,82,74,91,78,83,67,67,93,60,61,76,77,73,74,74,71,89,89,63,61,81,87,63,68,86,72,77,97,70,63,90,92,77,74,70,92,73],
[70,77,65,71,93,82,84,99,88,87,89,69,90,82,90,78,86,90,96,90,67,94,92,70,76,77,79,82,79,71,95,89,88,60,60,73,74,76,73,94],
[63,62,95,94,84,85,64,62,76,60,85,75,86,77,78,63,94,97,77,74,61,73,63,81,65,96,95,72,72,60,66,76,62,62,62,78,79,98,73,87],
[98,98,63,77,67,73,72,94,70,89,68,71,62,63,85,60,99,80,72,72,80,70,80,74,72,74,84,84,72,89,71,62,79,66,79,87,79,91,81,82],
[81,81,85,75,84,70,75,76,82,79,80,62,90,60,68,94,74,85,78,78,74,82,80,86,80,60,73,60,91,86,74,64,99,99,72,75,70,87,91,92],
[67,71,87,89,63,87,83,69,64,94,87,71,76,60,97,96,60,62,88,83,80,62,80,79,62,92,94,64,79,78,88,78,81,75,99,85,95,83,86,99],
[69,66,62,85,66,99,73,66,61,62,81,73,96,61,92,90,93,79,94,65,89,83,75,70,90,67,87,77,82,74,69,91,72,71,68,78,71,81,84,64],
[75,97,78,64,99,62,94,84,73,81,81,62,64,89,65,86,96,84,96,78,98,65,69,70,76,77,80,79,90,96,84,98,94,94,62,85,88,96,69,94],
[77,83,88,73,72,93,92,68,78,88,86,68,85,87,71,61,96,91,73,86,88,89,84,74,75,86,99,63,75,60,97,84,83,78,98,87,71,82,95,81],
[70,73,82,87,60,93,88,88,76,93,75,96,82,91,70,97,70,69,93,85,62,82,69,85,60,99,73,64,81,60,77,83,74,99,70,66,84,91,95,93],
[84,62,89,99,93,60,96,95,61,89,80,63,72,82,81,64,73,86,68,95,86,86,70,92,77,81,99,62,64,86,95,80,80,76,79,73,76,76,69,70],
[97,81,65,61,95,86,98,69,72,66,64,99,84,66,91,62,87,82,96,83,60,83,64,80,99,83,86,68,91,87,70,81,68,75,82,96,62,80,65,66],
[79,61,65,63,67,89,97,87,63,93,70,64,68,74,76,68,90,62,68,81,89,78,62,90,93,77,86,87,89,83,94,68,84,91,64,83,72,61,70,76]];
