
P = 1;

n = 15;

m = 15;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[96,69,65,91,86,60,62,92,92,92,97,63,86,81,60],
[70,67,72,93,91,60,97,84,68,70,91,88,77,93,94],
[97,81,63,94,64,82,94,66,74,79,98,64,82,85,77],
[82,87,84,94,80,75,86,70,60,94,80,83,82,90,68],
[76,79,89,72,73,85,94,68,91,60,87,82,64,69,99],
[82,83,86,66,77,67,74,96,69,66,90,89,89,65,71],
[97,73,90,78,85,64,63,79,64,86,72,83,68,76,92],
[67,90,67,86,97,84,93,71,72,94,77,95,75,98,60],
[87,87,73,77,97,99,73,92,70,77,78,82,60,87,91],
[84,86,81,91,72,78,68,97,81,80,91,90,67,99,80],
[67,86,99,73,63,96,64,69,88,74,86,99,89,87,78],
[80,71,64,93,95,69,64,63,98,85,75,82,68,83,81],
[88,82,67,80,95,62,76,91,71,97,98,98,96,87,77],
[74,99,80,70,92,67,71,96,62,70,74,78,92,82,93],
[73,62,67,72,74,95,74,91,86,78,80,84,68,68,63]];
