
P = 1;

n = 20;

m = 20;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[69,89,79,79,78,76,83,98,78,66,76,98,98,82,81,81,88,93,78,86],
[90,68,80,77,93,76,85,65,76,69,73,85,90,84,64,69,93,87,67,71],
[85,76,69,83,98,90,97,78,76,75,65,98,83,85,67,69,61,93,74,77],
[94,79,94,84,96,98,85,89,78,85,92,63,61,61,79,91,83,76,69,91],
[83,74,89,98,91,97,99,93,90,73,62,76,85,89,92,73,87,78,94,97],
[63,86,93,96,79,72,87,62,80,88,94,95,63,75,85,94,72,85,79,94],
[90,74,70,75,63,95,80,82,73,74,80,76,92,73,72,71,77,91,74,89],
[79,60,76,74,75,61,61,80,86,72,66,77,86,69,84,81,64,65,96,77],
[71,76,85,64,81,89,67,90,80,81,71,91,73,87,66,81,88,67,93,67],
[71,99,84,90,68,60,71,64,97,67,73,69,75,98,65,88,87,72,78,99],
[86,89,91,91,68,89,64,97,88,97,64,99,89,80,89,89,80,93,94,78],
[92,67,79,60,66,76,88,85,80,99,77,66,80,68,90,89,89,94,78,77],
[92,74,68,81,94,98,70,66,83,96,76,75,64,87,67,62,95,96,79,76],
[87,96,74,67,64,64,96,93,99,66,62,83,80,71,96,66,61,98,65,84],
[95,81,91,91,61,99,93,96,87,72,64,74,61,79,81,65,75,70,91,66],
[76,85,89,97,96,77,63,89,76,68,65,63,82,97,86,75,88,71,63,75],
[83,68,89,76,79,62,82,94,72,65,61,89,82,82,86,71,60,81,60,68],
[82,66,63,96,95,89,63,83,60,66,98,75,66,79,92,85,81,66,80,94],
[63,81,75,85,63,93,96,95,74,89,63,88,95,98,76,90,87,79,65,87],
[86,63,63,92,74,87,78,95,93,90,89,96,63,64,81,98,89,70,94,64]];
