
P = 1;

n = 15;

m = 15;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[99,74,69,79,91,79,84,82,70,66,95,89,95,86,61],
[71,94,73,87,62,67,73,63,99,82,94,64,64,79,79],
[83,78,93,92,89,85,64,73,99,74,79,95,95,67,73],
[89,70,67,62,97,62,69,70,65,60,84,91,97,89,63],
[76,72,81,62,65,63,79,61,68,78,67,80,65,62,87],
[79,91,89,86,93,86,88,94,96,86,87,72,77,84,61],
[80,60,66,94,94,63,97,73,64,97,92,71,77,89,65],
[96,68,89,85,95,82,71,75,69,99,61,96,72,71,80],
[65,83,72,71,69,67,66,98,72,70,96,64,73,73,86],
[79,70,94,68,95,81,82,99,97,83,98,90,79,62,93],
[91,68,77,64,71,86,63,78,85,75,80,81,72,86,94],
[98,65,96,92,65,92,66,79,91,63,63,81,85,82,76],
[79,74,84,96,70,87,74,73,97,99,80,70,72,92,96],
[99,90,93,95,75,98,87,81,77,70,76,80,84,61,63],
[60,72,69,76,60,79,63,75,84,93,66,64,63,71,89]];
