
P = 1;

n = 25;

m = 25;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[91,66,99,93,92,96,72,89,88,71,84,81,75,60,69,64,86,82,63,73,87,83,78,63,81],
[76,76,62,84,60,60,67,66,99,60,90,87,64,71,68,68,96,89,83,96,91,88,74,73,83],
[88,92,99,66,96,80,82,64,74,98,64,74,98,63,73,98,85,93,63,97,61,63,85,90,86],
[73,81,66,88,86,82,68,71,81,74,67,61,88,63,75,79,67,90,77,70,95,67,88,88,62],
[85,81,65,62,72,84,75,85,82,95,64,64,63,75,85,69,74,86,90,77,94,69,84,76,78],
[87,63,85,75,84,80,92,65,85,86,77,61,93,95,84,89,99,88,84,74,66,86,80,84,76],
[97,78,85,73,86,95,92,90,80,99,74,92,83,79,78,69,89,71,63,76,95,84,75,76,60],
[81,82,86,61,98,62,90,69,79,63,95,74,96,77,87,95,91,79,79,63,89,80,84,61,75],
[92,88,91,67,96,92,80,70,78,73,69,73,63,78,84,66,73,99,94,83,78,82,66,89,93],
[69,71,73,85,64,81,77,92,72,76,81,64,88,91,75,61,60,80,64,78,64,63,84,95,89],
[67,73,71,73,95,96,75,66,62,92,62,83,62,86,95,70,67,92,99,99,99,92,99,79,89],
[70,83,84,94,79,73,93,84,77,98,71,73,65,69,75,98,71,98,92,98,86,62,65,78,93],
[64,77,86,96,88,75,66,71,91,92,82,64,85,99,81,75,70,87,81,72,62,71,83,93,63],
[81,79,97,79,89,91,83,98,69,79,86,76,77,89,67,69,72,63,86,63,77,62,65,64,75],
[77,98,78,61,91,81,74,62,70,93,83,93,69,81,62,80,67,70,98,97,77,99,61,73,86],
[64,90,80,61,94,87,79,92,65,72,76,78,86,70,80,80,94,74,81,67,68,61,75,79,91],
[64,88,91,97,61,69,61,83,81,62,77,68,73,62,65,85,78,83,72,80,95,84,74,69,97],
[82,70,98,89,89,90,85,69,81,82,63,82,75,86,63,69,96,71,83,98,76,60,68,91,64],
[80,86,80,87,88,77,61,98,76,90,79,98,67,80,71,89,83,93,96,62,96,65,90,67,80],
[88,75,81,88,98,77,68,76,98,95,96,75,88,94,83,78,65,81,77,86,92,98,61,85,94],
[63,81,92,93,80,64,73,87,77,93,77,95,94,86,93,81,82,60,70,69,84,80,74,65,98],
[60,98,96,62,75,83,97,97,75,83,69,79,88,89,97,82,66,92,76,92,77,89,75,77,99],
[84,61,80,90,99,78,91,97,66,85,64,89,82,93,64,97,63,76,86,92,73,68,90,97,76],
[83,74,65,90,91,97,66,85,77,96,84,87,79,73,85,64,77,67,79,71,71,76,66,79,94],
[98,84,94,88,81,62,63,87,60,93,79,97,91,96,66,88,80,85,99,85,70,64,62,77,75]];
