
P = 1;

n = 35;

m = 35;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[99,77,73,84,77,83,76,98,92,65,70,86,73,85,79,94,74,81,80,90,65,73,72,67,83,89,61,65,96,77,90,96,94,95,72],
[64,70,88,62,63,86,64,89,99,81,60,93,95,73,65,86,79,71,98,78,86,79,79,91,76,96,73,64,83,68,76,79,79,65,73],
[74,83,77,95,82,91,95,67,78,68,65,96,79,76,95,97,94,66,69,78,74,97,91,78,80,92,87,91,63,84,64,77,67,74,72],
[89,65,67,88,83,67,93,80,87,61,67,76,96,65,85,66,80,83,97,98,63,81,85,87,84,61,91,93,68,65,65,89,62,64,78],
[78,64,63,90,91,65,97,67,93,94,93,99,74,76,88,73,71,70,90,98,86,84,82,80,92,79,77,74,82,82,84,60,86,87,90],
[69,92,79,76,77,73,61,68,80,69,97,85,73,99,67,63,85,91,85,65,76,65,75,90,79,89,74,79,67,93,61,76,78,72,84],
[95,77,78,64,97,87,93,82,60,92,90,64,69,73,81,67,89,78,82,79,97,71,85,68,78,79,61,86,97,73,70,92,83,88,88],
[80,76,81,95,68,73,77,64,75,90,78,82,80,96,64,91,94,75,77,94,85,96,96,71,85,61,81,77,84,62,66,97,70,79,84],
[78,85,61,75,60,83,93,82,63,89,86,87,75,93,64,70,70,92,98,81,77,99,94,86,84,88,84,81,98,64,65,69,89,98,84],
[89,81,69,63,77,98,81,64,66,66,60,68,76,92,66,89,61,65,75,87,89,64,64,62,62,68,99,63,89,89,87,78,71,88,73],
[80,79,94,76,85,60,76,93,68,60,99,97,93,96,72,80,78,76,84,80,71,84,72,74,73,61,94,83,64,82,96,84,61,82,60],
[86,82,68,71,90,68,62,79,61,99,92,74,77,60,90,89,71,75,61,86,80,95,80,64,99,62,60,84,64,83,76,82,97,85,94],
[80,85,88,99,79,87,91,93,96,84,75,78,95,90,79,73,71,74,93,67,66,88,99,82,84,74,98,98,72,75,84,84,61,73,83],
[80,92,67,65,89,91,72,67,86,63,78,60,66,85,85,65,91,65,64,65,81,79,63,80,83,79,64,67,72,69,90,84,62,89,81],
[83,80,93,82,99,88,92,91,86,77,68,91,60,74,96,65,95,67,61,67,90,80,72,89,84,81,79,68,75,69,89,98,81,74,72],
[80,63,65,63,89,74,72,81,75,86,77,72,73,76,73,81,66,85,85,95,61,98,66,69,66,67,90,96,89,65,69,61,68,74,65],
[97,88,77,70,95,95,79,60,60,95,65,73,93,91,98,80,84,89,87,94,95,86,76,91,67,81,60,61,81,66,66,71,87,75,81],
[74,62,61,74,62,96,80,68,82,63,66,62,87,87,89,73,82,68,90,74,75,63,66,76,85,65,74,88,92,81,69,66,83,62,73],
[78,91,93,86,73,96,84,75,75,72,97,89,94,65,79,60,72,74,99,89,91,64,95,79,96,77,89,94,60,83,67,70,74,92,96],
[79,88,81,95,96,93,84,85,79,81,96,72,93,62,71,74,94,75,70,73,63,87,94,97,79,78,97,90,84,89,86,64,70,99,91],
[66,84,67,83,96,88,71,68,81,73,79,88,67,94,98,73,89,85,67,86,64,77,75,94,62,65,73,98,75,72,81,73,89,88,96],
[85,68,67,93,81,72,72,69,80,98,67,93,87,84,92,65,89,70,81,75,64,86,80,94,93,93,67,66,74,95,62,99,63,61,84],
[76,73,96,86,85,86,93,70,73,70,63,70,99,65,91,66,61,69,87,95,62,72,62,68,86,89,62,77,84,95,61,60,61,89,86],
[86,75,72,89,80,82,84,90,73,89,74,71,82,83,98,77,78,62,71,78,80,92,81,97,76,76,98,68,77,79,87,96,94,91,85],
[66,65,69,97,78,90,63,81,72,78,80,81,96,74,84,75,95,76,88,92,84,96,83,84,66,62,71,62,89,94,79,95,99,80,84],
[69,70,87,91,74,66,63,95,62,77,71,69,72,87,97,97,63,86,72,87,92,66,91,86,95,85,65,83,85,77,67,94,79,95,77],
[93,93,80,80,95,98,91,97,62,70,94,91,73,80,63,60,64,70,91,90,97,77,87,80,94,64,88,80,83,75,98,76,68,78,88],
[63,68,79,92,63,89,79,94,94,91,90,95,96,92,78,86,89,95,74,70,81,78,98,62,94,65,60,62,73,70,91,68,71,70,61],
[66,92,80,92,86,71,82,73,67,74,92,86,96,79,92,66,61,62,96,95,96,61,87,99,74,97,90,82,60,92,83,98,76,95,91],
[95,67,65,68,66,72,92,84,68,64,76,74,97,79,62,92,75,63,79,66,69,68,88,83,69,73,99,67,89,94,90,84,93,96,85],
[60,68,77,84,68,73,93,82,70,72,76,62,79,71,81,78,72,82,66,95,83,79,94,82,69,81,73,85,74,61,62,66,69,72,83],
[77,85,76,91,96,80,99,90,91,70,72,69,82,86,76,77,69,87,64,91,88,77,64,74,91,65,68,90,66,80,65,75,66,73,66],
[94,93,97,84,84,67,88,86,81,74,62,91,83,81,95,75,70,72,71,76,95,77,84,85,75,65,82,91,63,95,89,97,88,87,73],
[65,94,62,83,76,76,85,67,92,98,94,99,68,98,70,84,93,87,61,71,63,98,93,86,61,89,75,90,69,62,95,66,89,97,89],
[97,66,66,64,90,65,90,89,65,88,99,82,73,79,83,76,74,81,70,60,74,91,75,96,92,78,91,91,99,89,72,96,87,79,92]];
