
P = 1;

n = 15;

m = 15;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[91,70,79,84,65,86,82,85,99,91,87,67,64,71,61],
[99,71,73,68,87,74,79,83,81,63,68,87,99,63,98],
[88,94,60,60,78,66,78,92,83,78,75,70,85,79,82],
[86,78,85,92,78,73,66,97,88,87,92,96,66,92,99],
[97,80,93,97,72,63,95,91,87,78,69,94,81,86,74],
[63,65,84,88,97,63,93,95,60,81,74,85,77,80,77],
[68,69,89,93,99,94,96,94,85,75,65,86,70,86,72],
[76,89,69,92,69,66,95,95,93,88,76,67,73,86,80],
[82,86,89,63,80,88,97,76,75,82,84,80,60,86,98],
[65,94,79,74,86,88,73,82,83,66,62,92,74,67,70],
[94,89,96,75,84,76,64,82,85,71,96,61,83,97,87],
[81,62,81,60,68,99,80,81,73,64,88,75,88,62,82],
[90,96,63,86,71,80,95,67,94,72,70,90,73,93,79],
[60,74,73,73,74,82,64,95,63,78,91,91,93,71,85],
[68,61,73,63,79,77,75,74,84,69,86,87,92,91,80]];
