
P = 1;

n = 45;

m = 45;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[91,86,73,60,77,66,83,65,71,81,98,94,61,89,70,67,91,80,70,95,80,93,63,87,60,63,70,91,95,64,71,87,82,84,79,92,82,62,97,93,76,95,80,69,76],
[90,76,68,62,87,63,74,72,98,61,72,93,72,95,89,68,66,68,83,82,87,75,64,82,72,90,90,99,70,99,75,92,75,83,86,94,79,60,66,77,94,70,63,98,65],
[92,66,63,60,89,85,79,96,82,61,68,64,91,99,66,90,75,90,66,90,76,92,61,68,99,79,94,69,82,92,67,66,91,70,66,80,88,85,77,62,79,77,98,70,77],
[64,93,84,94,91,66,62,83,68,62,74,79,97,84,93,89,83,99,80,85,97,93,65,74,62,67,93,71,65,96,80,61,89,64,87,80,71,81,63,79,84,78,90,81,94],
[83,62,69,82,83,94,79,68,60,93,70,99,79,73,97,75,94,98,64,98,78,76,61,99,71,72,83,81,62,96,67,85,99,76,99,74,63,78,82,63,64,84,94,83,97],
[91,90,91,82,86,82,60,62,83,99,73,96,83,87,90,79,94,76,70,71,75,84,74,86,98,69,82,82,63,97,72,87,87,95,69,73,77,69,75,61,68,80,89,83,99],
[71,95,94,87,65,97,95,82,63,73,80,64,95,95,99,92,99,86,71,94,95,84,72,96,91,65,97,63,86,80,63,97,67,97,77,73,86,72,87,89,77,99,93,72,94],
[92,96,93,79,67,80,66,91,92,63,74,89,60,77,75,72,80,64,80,69,81,85,95,85,72,76,62,71,69,66,98,94,62,83,65,61,63,71,84,87,66,98,76,98,68],
[83,63,80,88,83,90,61,60,77,87,64,94,81,67,95,88,97,81,82,81,86,76,84,90,60,64,88,91,80,87,99,96,90,79,76,65,61,77,97,71,96,61,65,78,60],
[92,98,98,74,72,79,92,88,95,82,81,99,71,72,72,98,63,60,80,82,76,77,76,93,66,87,90,67,84,60,99,76,90,97,82,62,68,75,83,64,97,96,95,68,68],
[99,98,71,99,70,85,75,79,61,61,85,80,83,84,64,83,84,81,73,81,95,67,90,70,82,86,60,78,73,60,78,73,91,81,64,93,67,80,73,60,73,90,81,96,75],
[85,79,91,98,84,64,86,83,86,96,66,72,88,76,78,89,95,91,72,76,95,65,75,67,70,68,80,61,81,76,68,98,87,99,89,63,63,75,79,90,63,77,94,92,93],
[72,73,80,95,85,97,83,82,64,90,93,64,63,94,85,71,94,76,91,93,65,86,88,80,65,70,83,82,97,67,68,61,72,88,97,89,77,80,72,74,62,97,78,65,83],
[96,69,77,72,60,62,77,86,90,89,84,93,64,98,82,72,66,83,76,87,80,66,96,92,70,70,87,67,89,84,90,77,93,67,89,85,69,98,72,91,87,96,76,91,86],
[98,95,93,82,72,72,94,70,68,79,80,79,66,87,60,82,77,69,76,76,98,61,77,96,65,60,75,93,77,66,80,67,94,65,81,66,77,76,76,77,87,96,88,85,75],
[88,67,84,97,75,60,87,77,69,75,74,69,90,68,86,89,80,86,83,85,67,89,94,75,97,71,62,85,60,79,60,80,87,76,70,62,76,89,71,77,65,78,86,87,86],
[65,76,66,91,99,83,98,80,77,74,69,88,68,94,80,88,86,93,75,94,63,69,62,92,73,79,89,91,66,77,69,63,93,75,94,85,90,84,97,67,98,67,87,99,93],
[68,87,72,61,94,66,96,95,69,80,68,80,70,91,86,87,60,81,72,67,75,89,97,60,87,64,90,86,84,89,71,84,68,75,85,62,74,73,98,75,93,98,95,63,90],
[74,82,82,95,87,90,71,76,79,63,95,76,85,73,60,67,85,84,75,92,61,78,66,74,76,81,99,66,77,63,96,91,77,79,86,64,61,89,81,72,84,68,88,70,82],
