
P = 1;

n = 30;

m = 30;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[81,65,77,75,75,94,96,74,76,64,82,76,71,69,84,80,71,92,76,89,89,74,98,93,75,92,69,98,72,68],
[68,85,65,77,92,80,71,89,87,88,85,69,96,96,71,72,68,74,64,84,63,94,98,93,79,74,86,88,72,90],
[97,72,67,62,89,60,75,93,81,62,73,66,63,69,94,66,73,62,73,77,87,76,63,77,70,83,91,88,71,95],
[70,60,99,69,95,81,69,70,66,90,64,79,88,99,80,82,66,93,77,79,62,64,87,66,73,89,81,97,69,84],
[84,71,85,84,81,72,97,90,82,63,73,78,82,93,77,94,76,83,79,85,94,81,81,74,79,94,95,92,91,65],
[77,76,68,94,92,89,66,89,72,80,92,77,98,66,70,75,60,78,99,79,63,85,92,84,99,64,79,87,96,62],
[92,65,70,92,99,62,82,97,91,86,77,75,63,75,81,73,91,81,92,82,92,87,67,77,72,99,81,83,86,69],
[77,70,67,88,62,98,90,76,96,74,62,73,89,97,81,71,63,72,84,87,86,77,74,85,94,78,84,67,61,62],
[68,79,64,75,67,99,66,89,67,62,63,62,67,93,99,88,64,62,92,80,89,78,97,96,64,83,74,80,82,68],
[75,91,79,71,98,78,70,64,67,70,98,71,72,98,96,63,86,92,98,71,72,79,89,70,75,85,85,82,66,60],
[90,73,83,69,84,81,87,87,78,86,97,68,97,61,66,85,96,85,77,94,96,90,74,77,92,81,63,69,63,69],
[69,93,74,92,94,98,66,73,77,84,60,74,84,89,67,91,75,64,68,92,98,64,74,64,81,66,86,84,76,81],
[85,77,67,99,70,61,90,76,75,67,92,75,74,76,64,81,99,71,77,67,64,68,71,78,72,85,77,90,61,85],
[64,87,62,71,78,64,64,68,80,79,68,72,86,82,81,83,95,72,94,73,80,90,81,83,69,85,60,78,68,62],
[95,72,89,97,83,99,62,87,60,74,99,68,79,77,82,92,60,69,64,87,74,84,77,87,60,78,73,60,96,81],
[62,83,85,83,81,60,75,75,79,75,81,78,75,60,88,97,84,80,98,89,67,73,65,85,60,65,63,65,98,92],
[78,60,75,63,76,88,63,91,95,83,66,69,93,73,61,73,62,86,94,60,75,61,73,80,78,66,86,74,71,84],
[66,90,76,73,93,92,94,89,75,81,64,73,90,89,86,92,63,88,78,97,89,85,90,94,65,69,60,83,83,72],
[99,81,62,68,86,87,92,80,76,68,94,80,81,76,70,60,68,65,88,78,62,69,95,92,64,61,93,96,76,76],
[68,76,97,62,76,76,82,68,88,98,76,82,71,90,99,73,90,99,70,70,70,72,72,65,96,68,98,82,64,75],
[98,65,83,88,99,99,64,81,67,92,72,76,67,75,98,98,80,80,97,90,90,99,94,62,65,82,62,63,64,67],
[70,63,72,93,83,63,84,79,85,92,71,97,60,70,64,98,68,84,78,66,74,60,97,68,95,62,90,97,98,95],
[64,60,90,68,94,65,72,78,84,89,62,87,86,94,98,90,92,66,74,70,64,80,63,62,88,98,96,70,95,86],
[97,92,87,79,60,73,84,64,83,60,93,86,88,71,72,78,61,65,84,67,67,81,79,70,75,99,68,63,62,96],
[90,99,88,69,71,80,82,87,85,65,88,78,83,68,90,96,86,83,61,62,83,60,83,94,71,90,94,71,94,96],
[67,76,87,95,85,98,76,67,86,93,64,66,71,88,66,93,84,92,69,77,86,84,69,62,78,80,92,72,92,78],
[68,91,94,88,87,79,86,95,78,64,88,83,62,91,71,68,77,87,92,86,96,79,70,65,81,88,78,73,93,62],
[92,93,93,78,81,80,98,60,67,76,64,87,99,99,79,62,67,88,89,92,74,77,71,76,83,92,96,93,97,89],
[95,81,75,88,60,96,61,98,96,68,66,93,88,98,92,67,60,91,87,82,83,61,99,86,69,74,78,97,67,68],
[87,62,89,94,83,89,82,84,79,71,84,86,64,72,76,88,71,76,71,98,98,87,91,90,73,60,64,84,98,64]];
