
P = 1;

n = 15;

m = 15;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[94,92,65,95,90,85,92,69,87,87,76,98,61,82,60],
[63,62,98,87,74,96,93,98,90,94,89,67,79,67,75],
[61,93,67,98,80,89,75,72,91,63,92,67,93,93,82],
[93,88,76,91,76,90,79,61,89,61,95,70,69,74,69],
[76,68,62,84,66,75,73,74,87,64,77,71,64,70,64],
[78,63,93,94,86,61,85,65,94,66,66,89,76,67,95],
[86,84,63,80,60,62,95,73,68,75,70,85,86,66,87],
[83,84,90,68,70,68,61,95,73,95,61,71,84,70,71],
[71,88,95,67,68,95,61,96,60,69,71,62,94,89,60],
[81,64,84,63,72,95,71,73,82,76,60,76,79,76,78],
[90,88,66,77,95,74,64,96,70,65,65,73,99,91,95],
[60,64,99,76,67,64,63,70,69,86,86,70,94,65,78],
[72,88,66,78,65,93,84,70,81,87,67,78,60,98,69],
[87,98,73,79,67,72,75,70,82,84,88,60,86,82,66],
[65,86,86,63,64,91,97,81,93,70,68,92,89,60,91]];
