
P = 1;

n = 45;

m = 45;

w1 = 1.00;

w2 = 5.00;

L = 3.00;

g = 1.26;

t = 
[[71,80,97,86,61,76,92,63,80,61,88,83,85,78,67,94,79,83,84,97,97,95,79,99,91,76,74,78,79,71,90,82,84,79,68,85,96,92,80,68,94,61,92,71,79],
[91,98,90,74,82,88,63,69,99,95,92,75,69,62,94,73,84,69,97,64,77,74,60,70,87,60,96,88,84,99,67,75,97,89,90,72,77,85,81,77,80,66,84,82,68],
[71,95,93,80,84,97,97,98,89,99,77,81,87,65,66,87,64,81,84,94,63,96,63,89,70,80,69,76,97,91,84,68,78,69,88,62,98,85,93,79,77,70,61,64,68],
[67,91,72,88,68,98,84,64,62,73,74,74,82,82,71,66,99,79,76,68,67,71,67,85,96,86,94,98,79,98,66,86,82,71,67,90,69,91,86,63,64,93,70,78,75],
[81,76,74,93,93,83,60,96,82,77,92,60,71,90,80,62,97,98,84,68,97,66,69,88,92,65,84,85,75,95,61,88,63,75,81,96,90,74,84,72,91,76,65,95,67],
[85,97,96,75,73,96,73,79,97,93,63,62,70,89,69,65,82,98,68,89,79,97,80,93,81,84,77,90,89,64,97,66,93,93,82,66,89,87,77,78,80,72,81,90,61],
[90,87,75,88,96,65,60,85,85,85,98,61,94,88,83,98,77,89,83,70,63,81,91,90,98,70,71,63,83,93,64,65,81,80,86,69,85,86,86,62,63,84,95,98,65],
[78,88,82,60,72,85,63,85,68,94,76,70,97,79,93,82,83,99,63,95,85,64,72,63,90,66,66,67,62,96,72,72,85,94,72,89,79,76,74,80,62,90,90,91,69],
[84,73,85,75,77,72,60,81,85,95,64,83,61,71,77,90,83,90,75,69,62,96,81,70,62,61,64,85,91,95,86,67,69,63,82,78,76,74,91,93,69,95,76,63,98],
[94,93,73,76,60,83,70,88,96,81,90,97,77,67,80,73,94,88,82,97,62,92,65,77,83,98,78,71,67,81,69,93,66,75,69,66,90,71,94,86,84,77,75,62,84],
[95,75,78,75,89,68,78,81,73,87,96,64,65,99,71,87,69,64,93,76,65,92,66,76,78,92,61,95,67,95,80,94,70,90,62,91,98,72,64,64,99,60,60,64,92],
[71,83,61,67,69,69,64,93,75,72,71,67,73,67,66,68,79,92,70,69,94,61,60,98,97,96,97,90,96,94,82,67,69,75,66,70,84,70,63,99,82,67,66,88,74],
[64,88,93,96,91,94,83,84,86,73,82,82,71,72,78,97,94,77,98,69,75,69,85,77,64,84,92,71,82,80,85,78,60,70,66,91,97,89,76,83,63,90,66,66,62],
