
m = 16;

n = 16;

Amin = 102;

Amax = 128;

B = 4896;

lambda = 20.00;

c = 
[[5,5,8,4,8,6,7,9,8,3,7,7,5,6,5,4],
[3,3,8,2,7,5,10,2,3,6,6,6,9,9,4,3],
[2,10,5,6,3,8,2,8,10,6,2,4,10,5,4,9],
[6,9,9,10,3,7,10,2,2,3,7,9,8,7,8,8],
[4,10,2,5,7,2,9,4,4,9,4,3,4,7,2,6],
[3,7,5,4,3,2,3,2,3,6,7,10,2,3,5,4],
[2,5,5,5,4,2,8,6,9,10,8,2,4,6,5,5],
[2,8,6,2,7,7,2,8,2,7,7,9,8,2,9,6],
[3,10,10,5,10,5,8,9,2,5,7,3,7,10,6,5],
[6,8,5,2,4,5,6,2,9,10,9,4,8,7,9,9],
[7,6,2,6,7,8,4,7,9,8,8,5,7,2,6,9],
[8,10,7,9,2,3,9,7,2,8,10,8,2,6,4,5],
[10,2,10,4,8,10,9,4,7,5,5,2,5,10,7,9],
[9,4,7,7,3,4,4,3,8,3,7,8,5,7,3,4],
[8,9,4,3,6,2,6,3,3,7,10,4,6,6,10,2],
[6,6,8,7,6,8,6,3,9,9,8,3,6,7,3,10]];
