
m = 14;

n = 14;

Amin = 78;

Amax = 98;

B = 3744;

lambda = 20.00;

c = 
[[2,3,7,9,3,8,6,6,4,8,6,5,6,4],
[7,10,6,9,4,6,9,8,2,9,10,5,7,4],
[8,6,7,8,6,10,5,7,7,9,9,8,6,4],
[9,8,4,3,5,7,10,8,2,7,5,10,5,2],
[2,10,5,6,5,10,10,7,8,4,3,2,9,2],
[8,3,2,6,9,3,7,2,8,5,8,6,10,9],
[3,2,9,10,10,10,5,2,8,3,8,5,3,7],
[5,2,5,10,10,4,5,8,5,9,8,9,10,3],
[2,9,8,2,7,5,8,6,2,10,4,8,2,8],
[9,3,5,4,10,6,3,9,8,4,5,9,9,9],
[7,8,9,6,4,6,4,9,7,10,2,6,9,5],
[3,9,2,2,2,3,2,8,8,10,7,5,10,10],
[4,9,8,7,4,6,9,7,9,2,3,3,2,4],
[7,7,5,7,6,3,5,4,5,5,10,9,2,4]];
