
m = 16;

n = 16;

Amin = 102;

Amax = 128;

B = 4896;

lambda = 20.00;

c = 
[[5,10,2,7,3,8,5,7,5,3,4,7,3,8,3,8],
[10,4,5,7,9,2,10,7,7,7,8,6,10,8,5,2],
[5,6,7,6,10,8,10,4,10,3,9,9,7,8,6,7],
[2,7,3,7,5,10,10,8,6,5,3,4,2,5,2,3],
[7,8,8,6,3,5,9,9,4,5,7,9,10,9,5,8],
[3,7,4,7,4,10,4,6,4,4,6,2,7,7,3,3],
[2,7,5,3,8,3,2,10,5,7,9,2,4,10,8,5],
[4,10,10,6,7,4,2,7,4,6,5,9,2,4,8,2],
[10,2,2,7,2,9,5,3,3,10,3,5,9,9,9,3],
[6,8,5,2,8,3,5,10,8,8,6,6,10,3,5,7],
[2,3,4,9,10,5,10,2,4,9,6,2,5,4,10,9],
[8,5,7,6,4,10,5,10,5,10,4,4,9,5,10,7],
[6,10,5,3,4,2,3,4,9,5,4,3,5,2,8,3],
[3,2,7,5,8,8,3,2,5,3,3,2,6,2,7,8],
[8,9,9,10,9,8,3,8,10,3,7,4,10,3,5,2],
[3,8,4,10,4,5,8,7,6,9,5,8,7,2,3,4]];
