
m = 22;

n = 22;

p = 3;

q = 3;

proba = 
[[[0.35,0.31,0.12,0.38,0.03,0.43,0.38,0.09,0.05,0.51,0.15,0.16,0.17,0.57,0.50,0.13,0.09,0.35,0.14,0.06,0.13,0.00],
[0.00,0.14,0.28,0.02,0.07,0.18,0.18,0.49,0.59,0.53,0.20,0.11,0.31,0.23,0.55,0.09,0.31,0.59,0.60,0.46,0.16,0.17],
[0.43,0.06,0.30,0.52,0.41,0.44,0.58,0.54,0.44,0.58,0.08,0.12,0.00,0.15,0.30,0.18,0.04,0.29,0.11,0.24,0.40,0.42],
[0.47,0.35,0.51,0.18,0.34,0.51,0.04,0.50,0.08,0.47,0.56,0.38,0.39,0.37,0.22,0.37,0.31,0.06,0.35,0.38,0.18,0.35],
[0.53,0.48,0.54,0.57,0.17,0.05,0.21,0.58,0.47,0.08,0.33,0.39,0.25,0.07,0.30,0.30,0.57,0.38,0.17,0.54,0.16,0.56],
[0.31,0.38,0.33,0.02,0.43,0.08,0.40,0.01,0.44,0.33,0.49,0.37,0.30,0.06,0.42,0.52,0.04,0.30,0.59,0.37,0.08,0.25],
[0.44,0.38,0.54,0.41,0.16,0.11,0.35,0.31,0.07,0.06,0.09,0.40,0.07,0.52,0.48,0.47,0.53,0.32,0.20,0.43,0.09,0.51],
[0.49,0.51,0.42,0.53,0.21,0.41,0.30,0.29,0.06,0.13,0.07,0.00,0.54,0.22,0.12,0.29,0.54,0.19,0.35,0.02,0.59,0.42],
[0.54,0.47,0.29,0.48,0.18,0.50,0.30,0.27,0.41,0.19,0.18,0.23,0.12,0.39,0.04,0.42,0.07,0.10,0.55,0.14,0.11,0.49],
[0.36,0.22,0.19,0.30,0.41,0.54,0.32,0.40,0.36,0.27,0.26,0.05,0.15,0.44,0.55,0.45,0.11,0.36,0.04,0.29,0.58,0.16],
[0.08,0.03,0.58,0.15,0.13,0.53,0.30,0.24,0.42,0.06,0.47,0.01,0.36,0.28,0.55,0.08,0.08,0.30,0.35,0.34,0.35,0.50],
