
m = 22;

n = 22;

p = 2;

q = 2;

proba = 
[[[0.23,0.19,0.46,0.15,0.21,0.12,0.35,0.15,0.11,0.20,0.16,0.16,0.12,0.30,0.35,0.29,0.38,0.26,0.17,0.29,0.00,0.11],
[0.29,0.15,0.14,0.47,0.49,0.27,0.30,0.49,0.09,0.53,0.08,0.55,0.08,0.29,0.06,0.43,0.44,0.18,0.03,0.00,0.34,0.15],
[0.30,0.09,0.44,0.08,0.35,0.01,0.37,0.35,0.12,0.06,0.50,0.26,0.54,0.39,0.53,0.24,0.28,0.02,0.17,0.36,0.57,0.25],
[0.05,0.03,0.08,0.49,0.21,0.11,0.50,0.55,0.27,0.20,0.04,0.10,0.27,0.39,0.12,0.04,0.14,0.23,0.10,0.05,0.49,0.04],
[0.44,0.42,0.27,0.12,0.44,0.45,0.48,0.41,0.10,0.53,0.45,0.18,0.43,0.06,0.30,0.32,0.00,0.56,0.52,0.04,0.07,0.19],
[0.43,0.18,0.24,0.57,0.42,0.34,0.01,0.31,0.37,0.45,0.13,0.05,0.57,0.58,0.49,0.45,0.39,0.59,0.38,0.24,0.18,0.21],
[0.29,0.47,0.53,0.29,0.44,0.45,0.33,0.51,0.04,0.16,0.09,0.28,0.13,0.51,0.02,0.14,0.22,0.39,0.59,0.36,0.44,0.56],
[0.33,0.33,0.41,0.12,0.33,0.19,0.36,0.50,0.40,0.05,0.38,0.33,0.34,0.22,0.17,0.08,0.13,0.22,0.23,0.22,0.50,0.36],
[0.13,0.52,0.50,0.35,0.31,0.50,0.11,0.15,0.46,0.44,0.48,0.26,0.56,0.21,0.45,0.32,0.11,0.25,0.37,0.49,0.57,0.12],
[0.10,0.15,0.19,0.23,0.37,0.43,0.45,0.27,0.19,0.58,0.18,0.09,0.33,0.49,0.59,0.43,0.04,0.44,0.27,0.52,0.11,0.24],
[0.12,0.56,0.56,0.23,0.21,0.33,0.12,0.19,0.44,0.23,0.33,0.04,0.46,0.10,0.46,0.30,0.37,0.05,0.28,0.56,0.14,0.01],
[0.45,0.13,0.44,0.49,0.57,0.12,0.40,0.08,0.35,0.53,0.04,0.31,0.16,0.25,0.04,0.28,0.44,0.48,0.51,0.17,0.52,0.37],
[0.28,0.38,0.07,0.05,0.43,0.35,0.00,0.57,0.36,0.45,0.11,0.20,0.34,0.08,0.32,0.14,0.16,0.07,0.07,0.21,0.38,0.23],
[0.46,0.42,0.52,0.30,0.30,0.43,0.47,0.22,0.19,0.15,0.00,0.27,0.20,0.43,0.02,0.20,0.41,0.38,0.05,0.51,0.59,0.38],
[0.60,0.31,0.52,0.16,0.38,0.59,0.36,0.16,0.22,0.22,0.58,0.14,0.52,0.29,0.57,0.39,0.51,0.16,0.54,0.51,0.43,0.14],
[0.35,0.45,0.34,0.15,0.23,0.39,0.07,0.22,0.17,0.06,0.52,0.09,0.22,0.30,0.08,0.58,0.46,0.31,0.21,0.45,0.45,0.13],
[0.14,0.41,0.52,0.04,0.57,0.46,0.56,0.40,0.00,0.30,0.25,0.34,0.45,0.48,0.12,0.52,0.09,0.29,0.59,0.01,0.39,0.21],
[0.32,0.47,0.20,0.18,0.18,0.40,0.03,0.02,0.53,0.16,0.43,0.45,0.21,0.41,0.31,0.16,0.21,0.31,0.46,0.45,0.05,0.32],
[0.33,0.17,0.24,0.42,0.47,0.23,0.43,0.25,0.44,0.15,0.12,0.04,0.33,0.30,0.44,0.36,0.32,0.37,0.52,0.16,0.22,0.13],
[0.57,0.53,0.29,0.17,0.25,0.16,0.02,0.30,0.48,0.35,0.47,0.12,0.17,0.34,0.35,0.00,0.59,0.19,0.15,0.11,0.23,0.48],
[0.42,0.07,0.24,0.14,0.44,0.16,0.30,0.06,0.29,0.27,0.59,0.59,0.44,0.24,0.15,0.46,0.54,0.02,0.21,0.41,0.14,0.38],
[0.15,0.49,0.38,0.14,0.08,0.54,0.26,0.31,0.42,0.07,0.38,0.06,0.21,0.21,0.22,0.51,0.27,0.51,0.18,0.26,0.50,0.02]],
[[0.50,0.04,0.48,0.45,0.07,0.09,0.26,0.21,0.48,0.41,0.10,0.26,0.56,0.18,0.20,0.21,0.49,0.01,0.29,0.27,0.07,0.50],
[0.48,0.29,0.42,0.16,0.20,0.60,0.42,0.10,0.02,0.32,0.14,0.50,0.17,0.21,0.59,0.43,0.42,0.47,0.24,0.52,0.13,0.20],
[0.10,0.33,0.41,0.59,0.34,0.10,0.26,0.41,0.60,0.15,0.10,0.42,0.30,0.30,0.41,0.12,0.40,0.43,0.45,0.55,0.33,0.02],
[0.16,0.33,0.45,0.57,0.20,0.09,0.49,0.33,0.28,0.59,0.05,0.09,0.59,0.40,0.19,0.25,0.21,0.19,0.40,0.31,0.01,0.10],
[0.01,0.42,0.23,0.41,0.25,0.08,0.36,0.58,0.09,0.51,0.31,0.54,0.49,0.51,0.03,0.38,0.23,0.31,0.37,0.29,0.41,0.36],
[0.08,0.60,0.01,0.29,0.19,0.41,0.00,0.19,0.51,0.01,0.01,0.14,0.42,0.27,0.21,0.18,0.25,0.31,0.10,0.56,0.25,0.58],
[0.47,0.28,0.36,0.10,0.59,0.13,0.39,0.40,0.49,0.47,0.40,0.50,0.16,0.59,0.30,0.16,0.18,0.21,0.18,0.20,0.35,0.00],
[0.46,0.56,0.18,0.11,0.27,0.28,0.07,0.52,0.26,0.54,0.20,0.03,0.04,0.19,0.16,0.43,0.60,0.05,0.30,0.40,0.55,0.46],
[0.39,0.25,0.03,0.57,0.47,0.20,0.16,0.22,0.20,0.02,0.18,0.38,0.13,0.45,0.06,0.21,0.37,0.32,0.14,0.57,0.35,0.18],
[0.16,0.51,0.01,0.15,0.56,0.31,0.55,0.51,0.17,0.34,0.17,0.20,0.30,0.03,0.40,0.47,0.25,0.60,0.49,0.43,0.38,0.02],
[0.27,0.44,0.23,0.04,0.17,0.37,0.01,0.52,0.56,0.17,0.43,0.57,0.32,0.39,0.28,0.27,0.30,0.45,0.01,0.47,0.05,0.31],
[0.50,0.44,0.18,0.15,0.44,0.06,0.58,0.23,0.09,0.26,0.07,0.31,0.30,0.24,0.09,0.30,0.16,0.04,0.47,0.59,0.01,0.19],
[0.38,0.29,0.46,0.08,0.14,0.47,0.55,0.18,0.18,0.46,0.03,0.35,0.01,0.47,0.42,0.59,0.10,0.50,0.25,0.17,0.22,0.54],
[0.41,0.30,0.25,0.56,0.34,0.12,0.55,0.36,0.31,0.33,0.04,0.17,0.41,0.18,0.03,0.36,0.37,0.21,0.22,0.40,0.56,0.23],
[0.27,0.38,0.22,0.36,0.28,0.46,0.53,0.50,0.41,0.34,0.20,0.05,0.30,0.54,0.17,0.25,0.30,0.48,0.58,0.34,0.04,0.39],
[0.53,0.08,0.15,0.29,0.29,0.37,0.09,0.25,0.60,0.36,0.03,0.22,0.12,0.31,0.08,0.05,0.21,0.49,0.39,0.41,0.54,0.09],
[0.35,0.11,0.34,0.05,0.58,0.32,0.40,0.03,0.11,0.32,0.10,0.27,0.02,0.39,0.04,0.11,0.05,0.04,0.47,0.08,0.26,0.59],
