
m = 24;

n = 24;

p = 4;

q = 4;

proba = 
[[[0.45,0.37,0.35,0.11,0.04,0.32,0.27,0.12,0.54,0.09,0.10,0.57,0.27,0.57,0.52,0.41,0.50,0.58,0.58,0.01,0.04,0.19,0.10,0.03],
[0.51,0.19,0.21,0.33,0.46,0.40,0.44,0.32,0.17,0.19,0.43,0.22,0.51,0.10,0.34,0.45,0.19,0.43,0.42,0.46,0.40,0.34,0.27,0.30],
[0.32,0.25,0.32,0.37,0.44,0.42,0.40,0.35,0.01,0.01,0.07,0.48,0.41,0.51,0.20,0.58,0.10,0.02,0.20,0.01,0.13,0.54,0.46,0.31],
[0.37,0.28,0.18,0.17,0.02,0.45,0.48,0.34,0.10,0.20,0.11,0.54,0.02,0.51,0.28,0.03,0.52,0.36,0.51,0.33,0.27,0.11,0.31,0.37],
[0.13,0.52,0.39,0.26,0.45,0.25,0.57,0.22,0.52,0.15,0.40,0.54,0.59,0.28,0.28,0.09,0.47,0.39,0.03,0.49,0.30,0.31,0.52,0.22],
[0.07,0.43,0.55,0.34,0.54,0.26,0.11,0.07,0.18,0.50,0.32,0.03,0.15,0.29,0.26,0.07,0.44,0.06,0.01,0.43,0.33,0.30,0.52,0.21],
[0.09,0.55,0.10,0.39,0.26,0.02,0.01,0.32,0.45,0.56,0.06,0.39,0.22,0.17,0.46,0.40,0.07,0.18,0.43,0.21,0.48,0.09,0.28,0.32],
[0.15,0.29,0.15,0.48,0.59,0.07,0.09,0.08,0.02,0.18,0.46,0.28,0.21,0.47,0.00,0.06,0.43,0.06,0.45,0.05,0.23,0.31,0.45,0.29],
[0.49,0.28,0.51,0.37,0.38,0.19,0.08,0.52,0.48,0.24,0.40,0.47,0.31,0.49,0.54,0.33,0.07,0.41,0.01,0.28,0.28,0.01,0.34,0.10],
[0.07,0.18,0.15,0.30,0.49,0.00,0.59,0.38,0.29,0.50,0.15,0.06,0.08,0.23,0.59,0.56,0.47,0.39,0.43,0.17,0.28,0.37,0.51,0.35],
[0.18,0.52,0.03,0.46,0.53,0.37,0.56,0.00,0.55,0.11,0.30,0.44,0.12,0.29,0.22,0.41,0.19,0.37,0.47,0.28,0.00,0.45,0.24,0.47],
[0.24,0.07,0.04,0.52,0.45,0.55,0.27,0.02,0.46,0.30,0.48,0.39,0.07,0.44,0.40,0.02,0.56,0.10,0.46,0.08,0.39,0.09,0.48,0.58],
[0.46,0.35,0.26,0.46,0.20,0.50,0.32,0.44,0.57,0.36,0.36,0.42,0.31,0.04,0.44,0.18,0.34,0.33,0.57,0.41,0.17,0.37,0.43,0.13],
[0.46,0.29,0.20,0.26,0.38,0.08,0.24,0.23,0.43,0.50,0.09,0.03,0.40,0.42,0.48,0.38,0.18,0.24,0.20,0.49,0.28,0.04,0.07,0.01],
[0.37,0.04,0.42,0.54,0.41,0.24,0.06,0.27,0.53,0.26,0.53,0.31,0.34,0.17,0.54,0.17,0.07,0.04,0.21,0.47,0.45,0.08,0.25,0.03],
[0.32,0.45,0.53,0.60,0.49,0.60,0.01,0.26,0.04,0.43,0.19,0.44,0.07,0.25,0.12,0.00,0.51,0.04,0.31,0.26,0.21,0.25,0.43,0.28],
[0.29,0.04,0.15,0.14,0.12,0.41,0.18,0.44,0.25,0.10,0.44,0.14,0.10,0.45,0.40,0.14,0.28,0.59,0.58,0.35,0.24,0.10,0.36,0.16],
[0.14,0.07,0.42,0.36,0.32,0.25,0.04,0.01,0.28,0.19,0.16,0.40,0.60,0.33,0.25,0.25,0.44,0.09,0.39,0.54,0.54,0.19,0.08,0.22],
[0.18,0.06,0.58,0.43,0.16,0.33,0.59,0.30,0.40,0.40,0.06,0.12,0.05,0.09,0.14,0.34,0.28,0.29,0.14,0.28,0.03,0.39,0.53,0.46],
[0.47,0.33,0.40,0.42,0.52,0.48,0.04,0.10,0.54,0.01,0.53,0.10,0.34,0.52,0.40,0.15,0.33,0.46,0.27,0.38,0.55,0.41,0.12,0.24],
[0.10,0.26,0.52,0.13,0.04,0.45,0.59,0.52,0.17,0.39,0.33,0.09,0.27,0.37,0.20,0.21,0.38,0.13,0.31,0.13,0.05,0.11,0.27,0.38],
[0.57,0.54,0.16,0.52,0.35,0.27,0.15,0.44,0.53,0.07,0.57,0.57,0.52,0.56,0.49,0.09,0.35,0.22,0.19,0.03,0.59,0.39,0.24,0.37],
[0.52,0.55,0.50,0.57,0.06,0.17,0.34,0.03,0.11,0.50,0.55,0.45,0.17,0.11,0.30,0.10,0.18,0.27,0.07,0.10,0.23,0.55,0.19,0.58],
[0.17,0.38,0.01,0.16,0.16,0.25,0.53,0.08,0.20,0.42,0.05,0.27,0.59,0.39,0.30,0.10,0.29,0.25,0.55,0.46,0.35,0.25,0.56,0.53]],
[[0.52,0.02,0.03,0.14,0.57,0.22,0.12,0.14,0.59,0.13,0.30,0.16,0.38,0.22,0.24,0.58,0.05,0.29,0.25,0.03,0.08,0.54,0.13,0.37],
[0.19,0.08,0.23,0.55,0.32,0.19,0.48,0.24,0.22,0.51,0.38,0.19,0.12,0.51,0.33,0.12,0.04,0.03,0.28,0.42,0.26,0.51,0.40,0.30],
[0.20,0.05,0.34,0.28,0.59,0.47,0.05,0.19,0.54,0.28,0.14,0.27,0.47,0.02,0.51,0.09,0.52,0.29,0.28,0.05,0.20,0.01,0.16,0.24],
[0.05,0.44,0.07,0.31,0.35,0.47,0.01,0.55,0.52,0.35,0.23,0.52,0.21,0.28,0.10,0.16,0.56,0.24,0.43,0.43,0.26,0.33,0.52,0.18],
[0.03,0.20,0.23,0.23,0.21,0.39,0.48,0.26,0.23,0.54,0.56,0.58,0.41,0.57,0.54,0.34,0.32,0.17,0.25,0.54,0.45,0.36,0.09,0.41],
[0.60,0.52,0.24,0.26,0.25,0.16,0.44,0.28,0.35,0.06,0.51,0.56,0.45,0.39,0.22,0.08,0.33,0.18,0.06,0.15,0.16,0.60,0.48,0.48],
[0.17,0.13,0.41,0.01,0.49,0.51,0.42,0.49,0.42,0.06,0.15,0.08,0.21,0.58,0.36,0.57,0.04,0.27,0.53,0.49,0.06,0.15,0.57,0.39],
[0.34,0.04,0.53,0.49,0.03,0.42,0.37,0.20,0.55,0.19,0.22,0.44,0.09,0.04,0.33,0.52,0.09,0.48,0.59,0.31,0.46,0.35,0.28,0.50],
[0.02,0.21,0.40,0.08,0.36,0.37,0.47,0.10,0.40,0.40,0.59,0.44,0.22,0.36,0.04,0.17,0.55,0.26,0.01,0.04,0.29,0.34,0.56,0.39],
[0.22,0.55,0.10,0.08,0.31,0.37,0.58,0.33,0.58,0.37,0.41,0.34,0.14,0.28,0.44,0.55,0.09,0.43,0.39,0.31,0.20,0.43,0.48,0.14],
[0.08,0.49,0.19,0.38,0.23,0.14,0.17,0.45,0.10,0.26,0.52,0.40,0.04,0.50,0.13,0.02,0.28,0.55,0.36,0.42,0.23,0.20,0.37,0.32],
[0.04,0.15,0.03,0.23,0.58,0.50,0.38,0.06,0.39,0.56,0.44,0.01,0.11,0.01,0.46,0.20,0.27,0.38,0.01,0.31,0.29,0.14,0.33,0.56],
