
m = 16;

n = 16;

p = 4;

q = 4;

proba = 
[[[0.45,0.00,0.24,0.56,0.15,0.57,0.06,0.03,0.51,0.09,0.40,0.13,0.49,0.43,0.52,0.36],
[0.53,0.52,0.30,0.23,0.25,0.55,0.53,0.09,0.32,0.01,0.33,0.10,0.05,0.31,0.26,0.50],
[0.31,0.50,0.46,0.46,0.48,0.51,0.49,0.39,0.00,0.29,0.52,0.49,0.12,0.44,0.24,0.05],
[0.36,0.55,0.29,0.01,0.49,0.22,0.09,0.21,0.23,0.43,0.31,0.28,0.14,0.57,0.18,0.45],
[0.48,0.04,0.31,0.35,0.55,0.21,0.14,0.55,0.50,0.06,0.44,0.02,0.50,0.08,0.08,0.25],
[0.03,0.36,0.26,0.52,0.58,0.35,0.13,0.21,0.18,0.44,0.49,0.32,0.41,0.07,0.17,0.29],
[0.11,0.48,0.04,0.06,0.09,0.18,0.01,0.59,0.24,0.45,0.01,0.14,0.54,0.09,0.39,0.57],
[0.45,0.05,0.49,0.43,0.40,0.02,0.04,0.58,0.46,0.53,0.30,0.27,0.00,0.47,0.56,0.11],
[0.35,0.00,0.17,0.43,0.19,0.18,0.42,0.43,0.03,0.43,0.56,0.57,0.51,0.35,0.53,0.36],
[0.40,0.42,0.20,0.21,0.44,0.24,0.19,0.30,0.17,0.49,0.58,0.18,0.35,0.54,0.29,0.10],
[0.54,0.46,0.53,0.13,0.04,0.35,0.55,0.07,0.18,0.52,0.04,0.09,0.27,0.57,0.46,0.07],
[0.39,0.05,0.28,0.24,0.29,0.46,0.54,0.46,0.35,0.51,0.04,0.10,0.45,0.33,0.20,0.39],
[0.18,0.13,0.52,0.22,0.48,0.47,0.29,0.06,0.39,0.33,0.15,0.06,0.31,0.01,0.13,0.10],
[0.06,0.40,0.34,0.35,0.27,0.27,0.22,0.02,0.18,0.25,0.12,0.04,0.58,0.31,0.43,0.16],
[0.44,0.35,0.39,0.33,0.22,0.08,0.38,0.01,0.42,0.54,0.06,0.12,0.54,0.19,0.22,0.01],
[0.59,0.56,0.36,0.26,0.23,0.57,0.28,0.41,0.23,0.39,0.45,0.21,0.11,0.28,0.37,0.55]],
[[0.02,0.16,0.28,0.24,0.24,0.06,0.25,0.06,0.60,0.32,0.18,0.54,0.51,0.40,0.55,0.50],
[0.35,0.30,0.16,0.58,0.28,0.44,0.40,0.50,0.23,0.24,0.11,0.34,0.52,0.48,0.29,0.54],
[0.04,0.57,0.18,0.28,0.03,0.43,0.34,0.03,0.15,0.51,0.57,0.06,0.31,0.52,0.56,0.07],
[0.22,0.12,0.05,0.50,0.56,0.44,0.40,0.19,0.09,0.51,0.53,0.00,0.40,0.22,0.55,0.44],
[0.19,0.13,0.12,0.22,0.56,0.45,0.25,0.11,0.37,0.22,0.16,0.08,0.13,0.12,0.14,0.36],
[0.24,0.19,0.25,0.20,0.04,0.06,0.40,0.12,0.57,0.33,0.13,0.37,0.55,0.07,0.20,0.15],
[0.20,0.32,0.37,0.16,0.17,0.02,0.27,0.54,0.24,0.43,0.02,0.37,0.55,0.17,0.13,0.20],
[0.36,0.38,0.40,0.39,0.44,0.20,0.52,0.41,0.53,0.04,0.18,0.49,0.12,0.38,0.03,0.32],
[0.10,0.40,0.48,0.27,0.42,0.15,0.22,0.05,0.58,0.24,0.43,0.53,0.40,0.55,0.13,0.16],
[0.33,0.53,0.56,0.17,0.13,0.47,0.58,0.06,0.52,0.16,0.55,0.03,0.54,0.58,0.35,0.03],
