
m = 14;

n = 14;

p = 3;

q = 3;

proba = 
[[[0.28,0.01,0.40,0.16,0.08,0.49,0.28,0.57,0.58,0.05,0.20,0.20,0.33,0.21],
[0.01,0.39,0.09,0.28,0.38,0.13,0.10,0.60,0.19,0.13,0.56,0.14,0.17,0.15],
[0.30,0.15,0.03,0.57,0.16,0.42,0.13,0.24,0.32,0.40,0.22,0.30,0.45,0.42],
[0.50,0.19,0.03,0.51,0.58,0.11,0.19,0.35,0.24,0.29,0.35,0.43,0.43,0.31],
[0.57,0.59,0.46,0.27,0.15,0.49,0.24,0.31,0.31,0.37,0.55,0.03,0.17,0.17],
[0.33,0.02,0.59,0.23,0.21,0.01,0.14,0.18,0.13,0.33,0.54,0.37,0.03,0.29],
[0.21,0.45,0.60,0.18,0.45,0.46,0.44,0.59,0.34,0.08,0.30,0.06,0.45,0.25],
[0.09,0.02,0.42,0.41,0.04,0.41,0.05,0.24,0.43,0.19,0.43,0.55,0.52,0.36],
[0.32,0.55,0.05,0.53,0.40,0.05,0.11,0.25,0.50,0.55,0.24,0.25,0.03,0.54],
[0.30,0.48,0.19,0.39,0.50,0.01,0.20,0.54,0.42,0.25,0.18,0.25,0.43,0.00],
[0.20,0.35,0.37,0.53,0.30,0.41,0.46,0.10,0.46,0.56,0.34,0.36,0.52,0.58],
[0.01,0.55,0.52,0.31,0.43,0.11,0.10,0.33,0.12,0.30,0.27,0.54,0.55,0.45],
[0.19,0.39,0.45,0.39,0.14,0.22,0.32,0.44,0.03,0.17,0.54,0.49,0.14,0.28],
[0.25,0.05,0.26,0.26,0.00,0.18,0.58,0.44,0.29,0.08,0.17,0.41,0.38,0.44]],
[[0.35,0.34,0.28,0.54,0.12,0.13,0.33,0.26,0.35,0.04,0.10,0.38,0.22,0.04],
[0.27,0.35,0.32,0.52,0.41,0.58,0.18,0.41,0.16,0.16,0.25,0.45,0.23,0.41],
[0.25,0.02,0.25,0.60,0.35,0.53,0.54,0.48,0.06,0.26,0.14,0.41,0.31,0.24],
[0.19,0.53,0.28,0.45,0.28,0.00,0.37,0.08,0.58,0.56,0.49,0.14,0.11,0.14],
[0.59,0.35,0.55,0.24,0.37,0.20,0.24,0.12,0.14,0.18,0.60,0.20,0.44,0.13],
[0.01,0.15,0.38,0.20,0.07,0.06,0.05,0.35,0.06,0.43,0.44,0.04,0.38,0.33],
[0.19,0.50,0.47,0.18,0.25,0.42,0.42,0.01,0.03,0.06,0.13,0.16,0.23,0.13],
[0.36,0.07,0.26,0.37,0.22,0.04,0.57,0.29,0.10,0.02,0.04,0.16,0.45,0.48],
[0.20,0.23,0.21,0.39,0.13,0.08,0.57,0.38,0.50,0.38,0.39,0.52,0.44,0.52],
[0.09,0.07,0.05,0.45,0.15,0.32,0.22,0.36,0.36,0.19,0.06,0.46,0.20,0.10],
[0.02,0.05,0.58,0.22,0.28,0.19,0.01,0.41,0.27,0.58,0.18,0.16,0.36,0.57],
[0.09,0.20,0.50,0.17,0.28,0.55,0.02,0.42,0.27,0.24,0.19,0.03,0.42,0.24],
[0.49,0.03,0.34,0.51,0.08,0.32,0.13,0.36,0.51,0.14,0.17,0.18,0.11,0.35],
[0.34,0.47,0.32,0.43,0.07,0.22,0.00,0.35,0.18,0.03,0.17,0.45,0.27,0.36]],
