
m = 14;

n = 14;

p = 2;

q = 2;

proba = 
[[[0.45,0.20,0.13,0.25,0.03,0.27,0.11,0.05,0.01,0.34,0.48,0.38,0.46,0.14],
[0.04,0.33,0.35,0.19,0.31,0.53,0.03,0.56,0.01,0.38,0.44,0.04,0.24,0.33],
[0.02,0.50,0.04,0.46,0.09,0.17,0.11,0.12,0.43,0.21,0.17,0.44,0.55,0.04],
[0.22,0.42,0.18,0.26,0.14,0.53,0.45,0.45,0.46,0.48,0.41,0.46,0.26,0.25],
[0.50,0.50,0.57,0.52,0.40,0.01,0.38,0.49,0.18,0.49,0.01,0.01,0.10,0.18],
[0.46,0.05,0.22,0.08,0.47,0.41,0.34,0.01,0.33,0.19,0.46,0.19,0.07,0.27],
[0.05,0.34,0.51,0.55,0.23,0.49,0.47,0.03,0.50,0.25,0.52,0.08,0.14,0.53],
[0.10,0.24,0.11,0.55,0.29,0.33,0.03,0.16,0.14,0.37,0.17,0.47,0.56,0.03],
[0.06,0.04,0.30,0.11,0.37,0.21,0.07,0.01,0.10,0.54,0.04,0.00,0.19,0.56],
[0.09,0.33,0.49,0.18,0.58,0.00,0.14,0.27,0.34,0.17,0.43,0.48,0.54,0.01],
[0.35,0.51,0.04,0.42,0.54,0.34,0.53,0.32,0.56,0.60,0.32,0.06,0.54,0.36],
[0.06,0.13,0.32,0.15,0.47,0.21,0.33,0.44,0.21,0.47,0.11,0.55,0.04,0.55],
[0.43,0.58,0.55,0.18,0.49,0.60,0.60,0.43,0.34,0.53,0.15,0.29,0.52,0.47],
[0.35,0.46,0.23,0.41,0.59,0.55,0.56,0.46,0.16,0.29,0.30,0.38,0.16,0.41]],
[[0.33,0.20,0.36,0.16,0.18,0.31,0.34,0.06,0.31,0.34,0.49,0.05,0.26,0.04],
[0.34,0.19,0.51,0.09,0.05,0.14,0.51,0.04,0.09,0.47,0.49,0.26,0.16,0.19],
[0.03,0.32,0.01,0.36,0.52,0.36,0.52,0.09,0.07,0.26,0.15,0.38,0.60,0.05],
[0.43,0.26,0.09,0.17,0.45,0.60,0.27,0.49,0.14,0.17,0.53,0.23,0.05,0.42],
[0.49,0.21,0.02,0.53,0.53,0.02,0.29,0.44,0.39,0.21,0.53,0.46,0.47,0.09],
[0.24,0.47,0.13,0.07,0.13,0.22,0.25,0.58,0.22,0.51,0.47,0.36,0.09,0.40],
[0.59,0.13,0.22,0.48,0.34,0.24,0.41,0.27,0.26,0.10,0.11,0.05,0.31,0.04],
[0.51,0.18,0.13,0.15,0.04,0.26,0.23,0.17,0.48,0.47,0.15,0.10,0.38,0.02],
[0.46,0.47,0.42,0.45,0.00,0.04,0.33,0.34,0.28,0.14,0.01,0.54,0.24,0.12],
[0.59,0.54,0.16,0.50,0.12,0.29,0.05,0.16,0.55,0.28,0.34,0.44,0.15,0.49],
[0.53,0.53,0.51,0.39,0.40,0.33,0.24,0.41,0.37,0.57,0.15,0.05,0.12,0.16],
[0.60,0.35,0.28,0.59,0.30,0.45,0.49,0.42,0.14,0.54,0.58,0.09,0.22,0.32],
[0.53,0.37,0.21,0.46,0.30,0.13,0.26,0.10,0.46,0.50,0.51,0.23,0.47,0.06],
[0.28,0.59,0.23,0.28,0.34,0.51,0.27,0.04,0.35,0.16,0.46,0.49,0.10,0.45]],
[[0.59,0.32,0.17,0.52,0.09,0.38,0.38,0.39,0.51,0.04,0.50,0.37,0.53,0.41],
[0.60,0.40,0.47,0.28,0.39,0.10,0.57,0.14,0.01,0.24,0.18,0.36,0.40,0.04],
[0.25,0.50,0.49,0.24,0.22,0.06,0.16,0.32,0.44,0.54,0.11,0.35,0.57,0.01],
[0.12,0.51,0.42,0.12,0.31,0.29,0.40,0.10,0.39,0.37,0.24,0.40,0.01,0.42],
[0.16,0.40,0.46,0.41,0.30,0.34,0.05,0.53,0.40,0.21,0.24,0.24,0.14,0.35],
[0.59,0.12,0.36,0.11,0.02,0.17,0.23,0.33,0.46,0.03,0.43,0.25,0.40,0.07],
[0.04,0.41,0.49,0.20,0.21,0.35,0.01,0.51,0.09,0.06,0.44,0.49,0.27,0.08],
[0.13,0.41,0.43,0.12,0.53,0.19,0.23,0.55,0.36,0.46,0.28,0.22,0.49,0.11],
[0.47,0.29,0.19,0.51,0.10,0.08,0.11,0.31,0.43,0.12,0.22,0.52,0.18,0.06],
