
m = 26;

n = 26;

p = 2;

q = 2;

proba = 
[[[0.53,0.34,0.51,0.58,0.02,0.58,0.59,0.50,0.18,0.45,0.10,0.55,0.59,0.29,0.06,0.06,0.02,0.20,0.20,0.39,0.23,0.00,0.54,0.20,0.55,0.12],
[0.31,0.15,0.27,0.18,0.46,0.20,0.52,0.37,0.18,0.54,0.35,0.16,0.45,0.53,0.02,0.55,0.48,0.00,0.24,0.54,0.06,0.26,0.14,0.26,0.05,0.37],
[0.26,0.59,0.56,0.21,0.11,0.28,0.37,0.38,0.46,0.22,0.58,0.38,0.59,0.15,0.32,0.34,0.32,0.17,0.27,0.33,0.12,0.15,0.34,0.36,0.09,0.40],
[0.02,0.23,0.06,0.07,0.60,0.32,0.06,0.56,0.53,0.17,0.24,0.30,0.55,0.10,0.52,0.53,0.48,0.51,0.08,0.21,0.25,0.40,0.38,0.52,0.13,0.49],
[0.07,0.47,0.25,0.17,0.27,0.27,0.40,0.32,0.34,0.39,0.04,0.40,0.36,0.57,0.57,0.60,0.26,0.52,0.10,0.18,0.44,0.58,0.09,0.52,0.19,0.34],
[0.32,0.56,0.26,0.45,0.46,0.34,0.32,0.11,0.50,0.59,0.38,0.30,0.31,0.12,0.09,0.35,0.52,0.45,0.32,0.48,0.45,0.58,0.40,0.54,0.16,0.24],
[0.53,0.26,0.16,0.12,0.60,0.48,0.08,0.26,0.33,0.54,0.60,0.04,0.04,0.50,0.03,0.42,0.20,0.34,0.54,0.30,0.09,0.45,0.14,0.41,0.34,0.59],
[0.39,0.14,0.53,0.55,0.38,0.46,0.21,0.54,0.58,0.20,0.42,0.06,0.46,0.14,0.60,0.46,0.19,0.04,0.37,0.22,0.46,0.57,0.56,0.40,0.26,0.05],
[0.26,0.41,0.45,0.59,0.40,0.24,0.13,0.33,0.19,0.51,0.19,0.40,0.45,0.17,0.00,0.26,0.23,0.47,0.40,0.23,0.33,0.59,0.27,0.10,0.20,0.14],
[0.06,0.16,0.54,0.33,0.21,0.19,0.14,0.06,0.19,0.53,0.30,0.32,0.27,0.49,0.23,0.46,0.29,0.07,0.03,0.29,0.33,0.27,0.16,0.14,0.50,0.49],
[0.12,0.17,0.59,0.33,0.30,0.05,0.49,0.24,0.38,0.10,0.43,0.51,0.16,0.02,0.45,0.46,0.34,0.11,0.35,0.57,0.57,0.05,0.04,0.01,0.34,0.37],
[0.27,0.50,0.51,0.17,0.39,0.03,0.34,0.38,0.36,0.04,0.43,0.25,0.28,0.21,0.35,0.11,0.13,0.51,0.13,0.57,0.37,0.47,0.09,0.12,0.43,0.06],
[0.17,0.47,0.07,0.51,0.24,0.34,0.41,0.15,0.51,0.21,0.18,0.25,0.59,0.54,0.29,0.42,0.19,0.56,0.03,0.54,0.08,0.15,0.45,0.21,0.13,0.22],
[0.08,0.22,0.35,0.51,0.28,0.52,0.38,0.35,0.43,0.03,0.09,0.24,0.17,0.00,0.45,0.36,0.25,0.44,0.30,0.54,0.26,0.49,0.50,0.28,0.43,0.58],
[0.44,0.28,0.18,0.57,0.50,0.26,0.18,0.25,0.17,0.46,0.17,0.55,0.21,0.59,0.58,0.30,0.24,0.15,0.31,0.09,0.51,0.56,0.52,0.20,0.50,0.18],
[0.09,0.40,0.46,0.53,0.37,0.30,0.21,0.56,0.27,0.11,0.22,0.45,0.36,0.39,0.31,0.53,0.34,0.53,0.52,0.32,0.23,0.16,0.47,0.54,0.25,0.37],
