
m = 28;

n = 28;

p = 2;

q = 2;

proba = 
[[[0.06,0.52,0.17,0.50,0.46,0.02,0.08,0.51,0.01,0.07,0.44,0.42,0.29,0.16,0.03,0.08,0.24,0.20,0.01,0.11,0.17,0.58,0.06,0.14,0.58,0.51,0.40,0.32],
[0.51,0.53,0.44,0.57,0.45,0.01,0.47,0.30,0.03,0.55,0.21,0.04,0.02,0.06,0.46,0.32,0.21,0.49,0.39,0.46,0.09,0.41,0.57,0.26,0.39,0.03,0.40,0.37],
[0.55,0.20,0.09,0.46,0.13,0.53,0.43,0.57,0.54,0.31,0.28,0.57,0.26,0.49,0.01,0.28,0.55,0.47,0.00,0.16,0.36,0.40,0.02,0.45,0.20,0.59,0.10,0.59],
[0.02,0.50,0.36,0.57,0.10,0.45,0.43,0.23,0.37,0.26,0.20,0.31,0.57,0.48,0.28,0.23,0.37,0.29,0.51,0.32,0.16,0.51,0.48,0.52,0.31,0.50,0.37,0.51],
[0.49,0.47,0.50,0.52,0.38,0.26,0.49,0.48,0.11,0.32,0.11,0.48,0.58,0.31,0.19,0.55,0.19,0.48,0.18,0.56,0.17,0.09,0.28,0.33,0.00,0.16,0.25,0.31],
[0.06,0.02,0.22,0.55,0.49,0.12,0.46,0.27,0.38,0.35,0.15,0.49,0.07,0.26,0.37,0.05,0.57,0.56,0.60,0.16,0.43,0.17,0.12,0.00,0.26,0.39,0.33,0.26],
[0.55,0.58,0.57,0.01,0.00,0.19,0.55,0.49,0.31,0.42,0.16,0.10,0.17,0.31,0.58,0.24,0.57,0.35,0.28,0.54,0.30,0.28,0.10,0.14,0.45,0.22,0.14,0.11],
[0.02,0.47,0.37,0.57,0.45,0.35,0.57,0.46,0.54,0.53,0.35,0.25,0.34,0.51,0.35,0.51,0.23,0.33,0.14,0.20,0.08,0.43,0.14,0.38,0.11,0.25,0.52,0.56],
[0.47,0.05,0.07,0.49,0.52,0.45,0.46,0.38,0.19,0.43,0.23,0.13,0.36,0.58,0.38,0.10,0.50,0.13,0.01,0.12,0.46,0.15,0.32,0.53,0.58,0.47,0.31,0.09],
[0.12,0.23,0.05,0.59,0.28,0.12,0.48,0.20,0.57,0.34,0.58,0.16,0.18,0.22,0.29,0.54,0.20,0.07,0.03,0.10,0.20,0.04,0.22,0.05,0.19,0.55,0.58,0.17],
[0.42,0.29,0.26,0.54,0.52,0.30,0.53,0.20,0.42,0.41,0.41,0.39,0.16,0.39,0.55,0.33,0.01,0.23,0.27,0.21,0.30,0.30,0.31,0.50,0.35,0.53,0.56,0.54],
[0.48,0.54,0.11,0.30,0.23,0.37,0.23,0.16,0.07,0.16,0.36,0.49,0.57,0.16,0.28,0.13,0.55,0.23,0.47,0.56,0.46,0.14,0.17,0.16,0.44,0.47,0.07,0.19],
[0.40,0.02,0.13,0.28,0.56,0.24,0.58,0.20,0.01,0.21,0.35,0.08,0.37,0.11,0.57,0.34,0.27,0.25,0.48,0.22,0.48,0.34,0.18,0.34,0.48,0.35,0.50,0.32],
[0.22,0.57,0.50,0.02,0.59,0.03,0.31,0.55,0.27,0.29,0.15,0.27,0.50,0.50,0.35,0.27,0.00,0.32,0.01,0.27,0.58,0.49,0.49,0.45,0.23,0.07,0.19,0.11],
[0.42,0.09,0.42,0.04,0.06,0.33,0.06,0.04,0.36,0.37,0.59,0.03,0.06,0.14,0.30,0.56,0.04,0.05,0.22,0.04,0.38,0.23,0.31,0.35,0.12,0.21,0.20,0.35],
[0.28,0.39,0.46,0.10,0.48,0.28,0.14,0.54,0.01,0.21,0.58,0.36,0.58,0.57,0.39,0.04,0.11,0.09,0.59,0.15,0.15,0.21,0.19,0.52,0.45,0.50,0.28,0.57],
[0.11,0.48,0.32,0.39,0.27,0.18,0.49,0.15,0.46,0.03,0.09,0.47,0.24,0.07,0.23,0.21,0.04,0.02,0.25,0.15,0.11,0.24,0.30,0.26,0.45,0.49,0.18,0.30],
[0.39,0.46,0.27,0.50,0.34,0.59,0.28,0.01,0.17,0.17,0.16,0.03,0.21,0.25,0.50,0.44,0.32,0.13,0.06,0.36,0.15,0.30,0.52,0.26,0.54,0.22,0.52,0.40],
[0.10,0.10,0.10,0.49,0.55,0.37,0.39,0.29,0.37,0.07,0.30,0.54,0.25,0.46,0.58,0.45,0.11,0.47,0.29,0.43,0.00,0.35,0.19,0.15,0.05,0.11,0.41,0.60],
[0.33,0.33,0.40,0.43,0.42,0.50,0.32,0.38,0.27,0.11,0.07,0.04,0.18,0.36,0.58,0.42,0.22,0.56,0.27,0.34,0.43,0.57,0.17,0.43,0.31,0.36,0.58,0.37],
[0.47,0.39,0.36,0.20,0.12,0.16,0.03,0.55,0.06,0.35,0.32,0.33,0.46,0.39,0.37,0.03,0.15,0.35,0.45,0.38,0.30,0.13,0.11,0.13,0.09,0.28,0.57,0.41],
[0.05,0.55,0.17,0.52,0.34,0.54,0.12,0.47,0.10,0.15,0.41,0.16,0.50,0.14,0.48,0.36,0.52,0.25,0.39,0.08,0.60,0.24,0.45,0.30,0.37,0.57,0.43,0.46],
[0.25,0.40,0.27,0.30,0.35,0.44,0.22,0.09,0.38,0.34,0.56,0.48,0.49,0.37,0.04,0.39,0.51,0.52,0.15,0.43,0.17,0.54,0.51,0.17,0.18,0.36,0.47,0.55],
[0.33,0.30,0.42,0.58,0.11,0.09,0.28,0.46,0.53,0.50,0.55,0.31,0.24,0.51,0.19,0.13,0.28,0.23,0.52,0.18,0.15,0.07,0.01,0.32,0.00,0.52,0.49,0.18],
[0.28,0.36,0.14,0.01,0.06,0.56,0.59,0.17,0.04,0.27,0.02,0.58,0.17,0.57,0.29,0.41,0.48,0.48,0.53,0.16,0.11,0.45,0.34,0.26,0.52,0.35,0.58,0.52],
[0.27,0.46,0.11,0.56,0.22,0.24,0.57,0.28,0.20,0.56,0.45,0.24,0.23,0.47,0.22,0.40,0.44,0.51,0.20,0.32,0.39,0.14,0.48,0.50,0.59,0.22,0.16,0.51],
[0.57,0.14,0.43,0.25,0.01,0.54,0.20,0.23,0.18,0.17,0.51,0.38,0.13,0.36,0.02,0.37,0.23,0.25,0.16,0.07,0.15,0.37,0.39,0.55,0.51,0.27,0.45,0.50],
[0.49,0.02,0.40,0.46,0.16,0.23,0.11,0.16,0.17,0.31,0.39,0.35,0.49,0.30,0.13,0.02,0.06,0.16,0.38,0.29,0.40,0.55,0.36,0.56,0.32,0.15,0.50,0.23]],
[[0.42,0.36,0.12,0.31,0.37,0.53,0.17,0.53,0.16,0.28,0.09,0.33,0.60,0.48,0.08,0.48,0.18,0.21,0.50,0.24,0.37,0.29,0.52,0.17,0.24,0.28,0.13,0.55],
[0.43,0.03,0.18,0.26,0.39,0.30,0.57,0.16,0.23,0.14,0.09,0.39,0.43,0.17,0.12,0.42,0.05,0.20,0.31,0.23,0.42,0.21,0.47,0.19,0.49,0.39,0.36,0.13],
[0.07,0.49,0.08,0.51,0.52,0.26,0.16,0.31,0.57,0.13,0.46,0.20,0.28,0.55,0.59,0.11,0.12,0.11,0.53,0.18,0.31,0.24,0.41,0.13,0.44,0.28,0.31,0.34],
[0.07,0.07,0.47,0.14,0.56,0.55,0.05,0.48,0.22,0.21,0.18,0.19,0.35,0.05,0.38,0.02,0.60,0.37,0.13,0.12,0.48,0.06,0.30,0.20,0.30,0.11,0.33,0.14],
[0.39,0.04,0.48,0.46,0.11,0.35,0.00,0.07,0.30,0.05,0.55,0.52,0.26,0.13,0.10,0.01,0.18,0.49,0.03,0.18,0.26,0.16,0.30,0.14,0.22,0.00,0.34,0.51],
[0.11,0.07,0.05,0.50,0.11,0.53,0.37,0.22,0.28,0.37,0.30,0.58,0.42,0.24,0.50,0.08,0.38,0.60,0.09,0.56,0.48,0.12,0.14,0.14,0.27,0.44,0.29,0.49],
[0.44,0.03,0.40,0.55,0.10,0.46,0.46,0.21,0.39,0.22,0.43,0.07,0.59,0.12,0.05,0.41,0.37,0.54,0.49,0.15,0.54,0.58,0.11,0.43,0.09,0.24,0.57,0.37],
[0.08,0.26,0.26,0.52,0.29,0.06,0.48,0.39,0.52,0.34,0.59,0.31,0.56,0.42,0.38,0.55,0.54,0.43,0.36,0.31,0.37,0.25,0.46,0.31,0.23,0.56,0.14,0.32],
